"","BIOMASS","Bare_Soil_","EVI","GLCM_Ang_2","GLCM_Homog","GLCM_Mean_","GLCM_StdDe","GVI_NIRGRE","L1SD1","L2SD2","L3SD3","L4SD4","L5SD5","MCARI","MCARIMTVI2","NDVI","R1","R2","R3","R4","R5","Rel_area_s","Rel_shad","SAVI","Shadow_R","shadsoil"
"118",112.126,0.918300491046678,0.246229617837594,0.0001307383848627,0.0351428324064747,126.330949375964,42.9684530168899,2.10382659868841,20.3354896607675,16.7692590615643,9.01515302496957,13.2063670660357,13.072521451845,0.0236704857445654,0.209660748245148,0.0880380792721005,0.134705350932109,0.136359774972176,0.163195299457429,0.194704072760156,0.286877321577629,0.0038953811908737,0.953811908736784,0.195272476095756,0.856485326712837,0.0093268525397021
"119",190.894,0.915488435858421,0.247694611224601,0.0002021643695321,0.03057267746432,129.844370636482,44.3977728985947,2.09177806702953,20.7868109983767,18.1436075725582,8.70478645365344,14.7726852834869,13.8801328858548,0.024673279472828,0.21458833106917,0.0908247100525982,0.133625556830454,0.134858750674946,0.15952816212203,0.191401221652268,0.282094576808855,0.009719222462203,0.973002159827214,0.195247644761616,0.85856705549946,0.009378240312718
"120",42.742,0.986236482581699,0.148622138538651,0.0002285939666073,0.0299678465443315,121.440860215054,46.899007431694,1.79876254370701,25.2158909614399,19.2094297923727,16.8669772650383,22.2223860064765,20.3679550059223,0.0013894898698616,0.0386900260564381,0.0309782598173715,0.155219602272727,0.165270606060606,0.213289071969697,0.226926174242424,0.297282575757576,0.846060606060606,0.0363636363636364,0.124672264420998,0.82329325400901,0.0083478280163988
"121",169.726,0.890308458933526,0.268764476360118,0.0001482005378069,0.0419933306567007,129.654522946325,44.3835119046294,2.07503038158926,23.4230888620006,22.9237507491229,9.75158548392802,18.2537888724613,16.1175039828402,0.0309341754946937,0.232036302456868,0.110017788753396,0.127870637746132,0.125543963168073,0.138657821290436,0.172939016350211,0.260507537798875,0,1,0.203271370404855,0.870508906706304,0.0097776101975832
"122",214.69,0.941440540932226,0.200044782297297,0.0001491499053452,0.0372657762619425,126.811975647784,42.5209675573292,1.99031770283449,31.247067963309,20.4040910076045,14.1131031055591,16.9186683514279,16.6436918200767,0.0117246669160001,0.158044119070457,0.0592843404546764,0.139913017457278,0.138088115055981,0.173498112477902,0.19536597672363,0.274839219946965,0.0406599882144962,0.915144372421921,0.160292815653377,0.850730887249436,0.0090364802689189
"123",83.23,0.969952663969971,0.163413624247018,0.0002144314046708,0.0325960930397734,127.354595720811,44.1501658151374,1.89676348749081,34.2127270936437,19.0167804350301,16.4488056714438,17.5276216165691,16.9252227095601,0.003152654640266,0.0679885410693176,0.0369054992863343,0.144811645197201,0.14910798346056,0.193912014949109,0.208773318225191,0.282822578721374,0.470737913486005,0.380407124681934,0.136542563888538,0.838581279221123,0.0086455897320685
"124",94.846,0.920855510472197,0.149781335225061,0.0001770461378397,0.0422732823942834,127.771976843911,44.0378275625,1.61436908708236,26.0359269737084,17.6520545990053,9.76674339652732,8.78076756120647,7.21683550915794,0.0078192024888375,0.131672544127936,0.043976957865052,0.128156289859694,0.117910634566326,0.129918207908163,0.141870655293367,0.190351283482143,0,1,0.110511989428406,0.875827809217026,0.0095110231654901
"125",163.582,0.942756646193378,0.103814344454576,0.000246281692803,0.0419466471121166,128.850036509675,44.6172885788098,1.48667820692084,50.1752865692972,34.773163860471,23.5981542545297,25.7415001119588,21.4192925239668,0.0017249152655525,0.0550540324990582,0.0217376413121094,0.128225352749638,0.11619335654848,0.131271232814761,0.13710510130246,0.172742130969609,0.314037626628075,0.685962373371925,0.07736979263563,0.875917253238162,0.0092910217793203
"126",108.526,0.943085462540744,0.125121398609104,0.0002188143367942,0.0428319264988697,126.173902379201,44.8326757816027,1.59084108840667,43.0567445843409,32.5258298654801,26.2405430250702,26.8001957043175,20.8829921751716,0.0027935712747989,0.0716037338132417,0.0280000471718421,0.131870028409091,0.121965787337662,0.141328388798701,0.149470779220779,0.194028185876623,0.249350649350649,0.750649350649351,0.0946298838284802,0.869470170318457,0.0092194207720691
"127",98.83,0.924506281088413,0.133382003645112,0.0002485978791157,0.0684218989734854,126.918398842537,40.4326088420391,1.51548236934145,34.0051408522889,22.8740601311675,11.8435729088237,15.1310167620815,10.3091881974447,0.0063370068341609,0.118591810992409,0.0361656642414229,0.129108578897338,0.119330739068441,0.128401211977186,0.138037131653992,0.180843631178707,0.151330798479088,0.844866920152091,0.0972062157300983,0.875549782447071,0.0094704579120468
"128",128.83,0.941050656662588,0.108846229311731,0.000204474207917,0.0394180078020615,127.481843191197,44.2696688049232,1.47564355127431,52.2737927100503,37.2031641434086,28.3870884420606,29.6712924035063,24.5462156124416,0.0018009610838492,0.0518128434734679,0.0206555682682225,0.132519684770742,0.121353626501092,0.135591634825327,0.14131122066048,0.179074696370087,0.164847161572052,0.835152838427948,0.080062953161979,0.871367975031389,0.0092595225226416
"129",159.214,0.959348906683227,0.124109874908801,0.000299070641643,0.0450314201788691,125.079886148009,42.2827991354998,1.64715396564102,43.4316242913954,29.2118959576688,17.5890700139556,18.9530931307315,17.6647594547596,-0.0005097672456844,-0.0159124469636437,0.0196568220047939,0.136593656015038,0.131629370300752,0.15969647556391,0.166100610902256,0.216813839285714,0.762406015037594,0.189473684210526,0.0977467625094698,0.858593626664079,0.008949753532659
"130",214.834,0.869899116160588,0.211072874881666,0.0002289899616558,0.0609838390784146,128.745844504022,44.4315967929608,1.73082504393816,33.0915925271376,25.3433406478796,12.2324289528969,19.9201851996223,13.0602773040462,0.0139301281064217,0.138948202486525,0.0643061312922535,0.124804015151515,0.113246723484849,0.115533825757576,0.131414090909091,0.196010265151515,0,1,0.148746889347299,0.883231367528852,0.0101532620406273
"131",111.706,0.955383022148926,0.150330197562728,0.0002496058915915,0.0453537074867787,125.64312267658,42.4278684548489,1.7840198261777,56.095350793915,45.9381284035158,35.2084851938062,33.8091753906403,29.0064039186239,0.0015353463976662,0.0342557469386435,0.0289178911326451,0.137612009803922,0.135672610294118,0.168591278594771,0.178632250816993,0.242042626633987,0.762091503267974,0,0.120989369521824,0.853934444925376,0.0089381371149409
"132",122.734,0.941708027946893,0.106006281865113,0.0001852443991962,0.0545921857988224,127.39169431771,43.4188830244023,1.45828951175802,41.4671126395815,36.5935220130989,23.4810946169547,26.2949191324899,19.099750701283,0.0009031620314461,0.0263974627506141,0.0162992571427434,0.132592955291222,0.122570382998359,0.136261510459393,0.140777032916325,0.178743103978671,0.285479901558655,0.714520098441345,0.0781865392539562,0.870722520900861,0.0092462047159055
"133",158.974,0.945298400109245,0.12123201092805,0.0002328554896481,0.0599019936370759,127.669032213178,42.7148611347345,1.56223968510971,38.8320469236401,26.4807884694984,19.9428410573752,19.6617525199298,14.4957089545621,0.0028806373840379,0.0763323230836558,0.0275650813354447,0.132824390831498,0.123286068281938,0.141815322136564,0.149855245044053,0.192602388491189,0.346916299559471,0.647577092511013,0.091297917771455,0.868560524423451,0.0091882153225169
"134",103.99,0.952751631379625,0.143958615273772,0.0004039816755442,0.0469400743309834,125.373283395757,43.8655629548927,1.71172460738756,41.7750842434072,30.1572156525421,17.121477724583,16.8567939741074,14.6101480549894,0.003344145686063,0.0753610911055661,0.0326222962321294,0.13695177134901,0.132609955136139,0.16015114480198,0.170952506188119,0.226991723391089,0.650990099009901,0.212871287128713,0.113015469636671,0.858002807757025,0.0090055244147376
"135",205.15,0.94924865983626,0.13683464490083,0.000247796638875,0.038945695728995,127.265779132248,44.3747193365552,1.68322687394477,45.3896921446545,33.440728494531,24.1017691347075,27.2871940674317,26.6467687582963,0.0006244571075282,0.0149924500247141,0.0227169664805878,0.134357444267516,0.129739948248408,0.155712738853503,0.162951831210191,0.218381767515924,0.486624203821656,0.377070063694267,0.107543912367184,0.861286621897712,0.0090733509389023
"136",178.426,0.958034466802547,0.14579665647913,0.0003086459239308,0.0369403442072615,123.658204562179,45.1613452806939,1.78308991430337,47.6936745365345,36.3487463979567,31.5749251567143,34.1325495809831,31.7965922677512,-7.7102306736e-06,-0.0001899835260082,0.0247168982915141,0.137852869649806,0.135789153696498,0.1703671875,0.179002523103113,0.242124270428016,0.850194552529183,0.0019455252918288,0.117957952873806,0.853215460902335,0.0089058952518687
"137",123.43,0.874063870248794,0.264755621198965,0.0001853126934318,0.0487876581917215,126.713953745711,42.8496937829555,2.05239263070446,30.1589862778221,28.2579896415219,10.4120345325586,19.2636919204057,18.3285554386382,0.0273200342514782,0.203880003028521,0.105860765038086,0.121080717734855,0.117075422519754,0.125415496049166,0.155112392998244,0.240284734416154,0.13081650570676,0.0500438981562774,0.199034089961912,0.879938954874989,0.0100672157358995
"138",53.374,0.914947500644291,0.107515850108708,0.0001856179698897,0.0636151915158924,127.783390068082,42.6588533884811,1.40674270995166,41.428518964979,31.0878761514172,19.869642987436,19.0939709658673,13.6786379582944,0.0042528351545389,0.0951204860202153,0.0266606654181733,0.120504672666139,0.107018270371835,0.111232594936709,0.117326122428798,0.150547171677215,0.767405063291139,0.126582278481013,0.0774132730945149,0.888127249785529,0.0097068656853002
"139",106.414,0.888214670288309,0.231884703564985,0.0002254217745946,0.0557092209149107,126.372463338764,43.5890016763295,1.92884070416221,39.0849193216398,32.1837607095641,14.5531734778825,19.6989599790005,12.9753296742603,0.0204423551493809,0.182770278749733,0.0857640667071659,0.122905205890973,0.118005422039859,0.128007876611958,0.152024600674091,0.227613661342321,0.234466588511137,0.0046893317702227,0.174620051585855,0.878169306110421,0.009886903870045
"140",127.63,0.877353128312284,0.260270627070251,0.0002399393934816,0.0441660873586881,125.541937608034,43.0626555377375,2.0466816811968,39.1949654093732,42.204879804776,12.7422366575165,24.956742714719,20.6436067687577,0.0260876524727356,0.200858213046303,0.102279146879155,0.121953818537859,0.117488454634465,0.127130303524804,0.156098727154047,0.24046146785248,0.109660574412533,0.0156657963446475,0.195940939160416,0.878945134262659,0.0100181455550679
"141",191.422,0.878930070106271,0.236832042601116,0.0002223586611271,0.0579859986168934,125.439095589407,41.6304647457118,1.87169303998527,27.4207324152689,21.1605479326222,9.01320625956784,16.1690637363184,14.0533540721704,0.0248344777266868,0.207457476843058,0.0996666164820412,0.120263829173658,0.115227991296141,0.118563378250839,0.144813234060403,0.21567142932047,0.185402684563758,0.123322147651007,0.174605608975379,0.883087467624571,0.0100473006631551
"142",159.31,0.86995021647381,0.248336909947412,0.0001841316180296,0.0546086731260586,126.77165148183,42.4054721264834,1.9055395907352,28.8644086199552,25.1075086678242,8.90134522379172,17.0372596492913,15.6370243074112,0.0260176821072324,0.205189945709313,0.103931876440889,0.119688470898923,0.113971623860812,0.116188975766363,0.143141699461475,0.217177441487158,0.152444076222038,0.205468102734051,0.181772021820157,0.884476571491581,0.0101669791528606
